query_id,query_text,tau,k,relevance_recall,qrel_hits,qrel_relevant_count
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.5,10,0.4,4,247
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.55,10,0.4,4,247
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.6,10,0.4,4,247
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.65,10,0.4,4,247
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.7,10,0.4,4,247
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.8,10,0.4,4,247
49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",1.0,10,0.4,4,247
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.4,10,0.4,4,614
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.5,10,0.4,4,614
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.55,10,0.4,4,614
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.6,10,0.4,4,614
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.65,10,0.4,4,614
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.7,10,0.4,4,614
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.8,10,0.4,4,614
5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,1.0,10,0.5,5,614
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.4,10,0.3,3,137
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.5,10,0.3,3,137
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.55,10,0.3,3,137
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.6,10,0.3,3,137
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.65,10,0.3,3,137
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.7,10,0.3,3,137
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.8,10,0.3,3,137
50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,1.0,10,0.3,3,137
6,what types of rapid testing for Covid-19 have been developed?,0.4,10,0.3,3,959
6,what types of rapid testing for Covid-19 have been developed?,0.5,10,0.3,3,959
6,what types of rapid testing for Covid-19 have been developed?,0.55,10,0.3,3,959
6,what types of rapid testing for Covid-19 have been developed?,0.6,10,0.3,3,959
6,what types of rapid testing for Covid-19 have been developed?,0.65,10,0.3,3,959
6,what types of rapid testing for Covid-19 have been developed?,0.7,10,0.3,3,959
6,what types of rapid testing for Covid-19 have been developed?,0.8,10,0.3,3,959
6,what types of rapid testing for Covid-19 have been developed?,1.0,10,0.3,3,959
7,are there serological tests that detect antibodies to coronavirus?,0.4,10,0.4,4,481
7,are there serological tests that detect antibodies to coronavirus?,0.5,10,0.4,4,481
7,are there serological tests that detect antibodies to coronavirus?,0.55,10,0.4,4,481
7,are there serological tests that detect antibodies to coronavirus?,0.6,10,0.4,4,481
7,are there serological tests that detect antibodies to coronavirus?,0.65,10,0.4,4,481
7,are there serological tests that detect antibodies to coronavirus?,0.7,10,0.4,4,481
7,are there serological tests that detect antibodies to coronavirus?,0.8,10,0.4,4,481
7,are there serological tests that detect antibodies to coronavirus?,1.0,10,0.4,4,481
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.4,10,0.1,1,632
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.5,10,0.1,1,632
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.55,10,0.1,1,632
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.6,10,0.1,1,632
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.65,10,0.1,1,632
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.7,10,0.1,1,632
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.8,10,0.1,1,632
8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,1.0,10,0.1,1,632
9,how has COVID-19 affected Canada,0.4,10,0.1,1,191
9,how has COVID-19 affected Canada,0.5,10,0.1,1,191
9,how has COVID-19 affected Canada,0.55,10,0.1,1,191
9,how has COVID-19 affected Canada,0.6,10,0.1,1,191
9,how has COVID-19 affected Canada,0.65,10,0.1,1,191
9,how has COVID-19 affected Canada,0.7,10,0.1,1,191
9,how has COVID-19 affected Canada,0.8,10,0.0,0,191
9,how has COVID-19 affected Canada,1.0,10,0.0,0,191
